Espanol,Ath Bilbao,1
Real Madrid,Sevilla,1
Valencia,Celta,-1
Villarreal,Barcelona,0
Vallecano,Getafe,1
Ath Madrid,Betis,1
Barcelona,Real Madrid,-1
Celta,La Coruna,0
Las Palmas,Valencia,1
Ath Bilbao,Granada,0
Eibar,Villarreal,-1
Malaga,Espanol,0
Sevilla,Sociedad,-1
Levante,Sp Gijon,0
Granada,Malaga,0
Betis,Levante,1
Espanol,Ath Madrid,-1
Real Madrid,Eibar,1
Sociedad,Barcelona,1
Ath Bilbao,Vallecano,1
Sp Gijon,Celta,-1
Valencia,Sevilla,1
Villarreal,Getafe,1
La Coruna,Las Palmas,-1
